month,oil_price,demand_ns,demand_gom
407,86.63,1.42,2.08
408,84.35,1.38,2.02
409,83.98,1.34,1.96
410,80.81,1.32,1.93
411,83.95,1.38,2.03
412,83.96,1.51,2.22
413,80.05,1.68,2.46
414,83.55,1.76,2.58
415,79.91,1.7,2.49
416,80.44,1.63,2.39
417,84.31,1.62,2.38
418,87.66,1.52,2.24
419,87.22,1.62,2.37
420,92.78,1.62,2.37
421,91.87,1.5,2.2
422,94.99,1.61,2.36
423,94.36,1.5,2.2
424,87.06,1.51,2.22
425,79.06,1.63,2.39
426,76.35,1.73,2.54
427,78.03,1.72,2.52
428,74.83,1.88,2.76
429,80.11,1.86,2.72
430,68.91,1.95,2.86
431,63.47,1.93,2.83
432,71.28,1.71,2.51
433,68.21,1.47,2.16
434,74.9,1.39,2.04
435,81.7,1.44,2.11
436,86.29,1.34,1.97
437,84.97,1.5,2.2
438,78.29,1.17,1.71
439,72.45,1.0,1.47
440,70.22,1.24,1.82
441,68.84,1.15,1.68
442,71.17,1.35,1.98
443,75.44,1.55,2.27
444,72.8,1.69,2.48
445,72.14,1.65,2.42
446,70.22,1.45,2.12
447,69.61,1.27,1.87
448,71.27,1.21,1.77
449,68.21,1.17,1.71
450,71.55,1.24,1.81
451,68.94,1.36,2.0
452,70.85,1.28,1.88
453,76.38,1.26,1.85
454,75.6,1.21,1.77
455,84.22,1.19,1.74
456,81.9,1.24,1.82
457,79.81,1.15,1.68
458,78.45,1.25,1.83
459,81.5,1.17,1.71
460,81.49,1.23,1.8
461,78.48,1.39,2.04
462,75.53,1.37,2.01
463,74.69,1.63,2.39
464,74.98,1.56,2.28
465,70.46,1.49,2.19
466,67.2,1.45,2.13
467,64.04,1.54,2.27
468,52.89,1.54,2.27
469,54.37,1.45,2.13
470,55.43,1.37,2.0
471,59.21,1.34,1.97
472,59.71,1.35,1.98
473,57.96,1.21,1.78
474,60.74,1.12,1.64
475,66.23,1.02,1.5
476,68.66,0.69,1.01
477,68.97,0.73,1.07
478,69.57,0.76,1.12
479,63.15,0.88,1.29
480,55.87,0.89,1.31
481,53.8,0.84,1.23
482,51.56,0.92,1.35
483,59.41,1.09,1.59
484,59.43,1.16,1.7
485,63.06,1.17,1.71
486,67.06,1.19,1.74
487,74.66,0.99,1.46
488,73.06,0.78,1.14
489,64.58,0.71,1.05
490,60.94,0.65,0.95
491,59.67,0.88,1.29
492,67.86,0.88,1.29
493,63.36,0.99,1.45
494,68.65,1.11,1.63
495,71.86,1.34,1.97
496,75.33,1.29,1.89
497,73.78,1.04,1.52
498,69.97,0.93,1.36
499,71.64,0.89,1.31
500,69.52,1.14,1.67
501,68.25,1.0,1.47
502,69.93,1.16,1.7
503,69.24,1.26,1.84
504,68.75,1.36,1.99
505,63.04,1.31,1.93
506,63.85,1.2,1.76
507,69.4,1.25,1.83
508,66.7,1.19,1.74
509,64.61,1.15,1.68
510,63.88,1.2,1.76
511,68.18,1.18,1.73
512,66.79,1.16,1.7
513,69.84,0.99,1.45
514,58.44,1.02,1.49
515,53.46,1.18,1.73
516,58.51,1.1,1.61
517,62.31,1.04,1.52
518,62.57,1.02,1.49
519,66.69,1.15,1.68
520,68.58,1.1,1.62
521,70.73,1.2,1.75
522,76.1,0.85,1.25
523,73.72,0.7,1.03
524,76.02,0.86,1.25
525,69.96,0.97,1.42
526,62.25,0.98,1.43
527,55.49,1.1,1.61
528,61.75,1.16,1.7
529,67.58,1.22,1.79
530,74.48,1.38,2.03
531,76.38,1.31,1.92
532,70.17,1.38,2.03
533,68.35,1.2,1.76
534,64.62,0.97,1.42
535,62.94,0.76,1.12
536,63.92,0.95,1.4
