month,company,cash_musd,rigs_active,rigs_warm,rigs_cold
31,Stack&Pray Drilling,190.72,2,0,0
31,Bluewater Titans,116.17,1,1,0
32,PlayerCo,183.79,2,0,0
32,Stack&Pray Drilling,196.45,2,0,0
32,Bluewater Titans,117.67,1,1,0
33,PlayerCo,188.74,2,0,0
33,Stack&Pray Drilling,202.18,2,0,0
33,Bluewater Titans,119.17,1,1,0
34,PlayerCo,193.69,2,0,0
34,Stack&Pray Drilling,207.91,2,0,0
34,Bluewater Titans,120.67,1,1,0
35,PlayerCo,198.64,2,0,0
35,Stack&Pray Drilling,213.64,2,0,0
35,Bluewater Titans,122.17,1,1,0
36,PlayerCo,203.59,2,0,0
36,Stack&Pray Drilling,219.37,1,1,0
36,Bluewater Titans,123.67,1,1,0
37,PlayerCo,208.54,1,1,0
37,Stack&Pray Drilling,224.95,2,0,0
37,Bluewater Titans,125.17,1,1,0
38,PlayerCo,213.4,2,0,0
38,Stack&Pray Drilling,230.53,2,0,0
38,Bluewater Titans,126.67,0,2,0
39,PlayerCo,218.26,2,0,0
39,Stack&Pray Drilling,236.11,2,0,0
39,Bluewater Titans,125.77,0,2,0
40,PlayerCo,223.12,1,1,0
40,Stack&Pray Drilling,241.69,2,0,0
40,Bluewater Titans,127.12,1,1,0
41,PlayerCo,227.38,2,0,0
41,Stack&Pray Drilling,247.27,2,0,0
41,Bluewater Titans,128.47,1,1,0
42,PlayerCo,231.64,2,0,0
42,Stack&Pray Drilling,252.85,1,1,0
42,Bluewater Titans,129.82,1,1,0
43,PlayerCo,235.9,2,0,0
43,Stack&Pray Drilling,253.63,1,1,0
43,Bluewater Titans,131.17,1,1,0
44,PlayerCo,240.16,2,0,0
44,Stack&Pray Drilling,254.41,1,1,0
44,Bluewater Titans,132.52,1,1,0
45,PlayerCo,244.42,2,0,0
45,Stack&Pray Drilling,260.74,1,1,0
45,Bluewater Titans,133.87,1,1,0
46,PlayerCo,248.68,2,0,0
46,Stack&Pray Drilling,267.91,2,0,0
46,Bluewater Titans,135.22,1,1,0
47,PlayerCo,252.94,2,0,0
47,Stack&Pray Drilling,275.08,2,0,0
47,Bluewater Titans,136.57,1,1,0
48,PlayerCo,257.2,2,0,0
48,Stack&Pray Drilling,282.25,2,0,0
48,Bluewater Titans,137.92,1,1,0
49,PlayerCo,261.46,2,0,0
49,Stack&Pray Drilling,289.42,2,0,0
49,Bluewater Titans,139.27,1,1,0
50,PlayerCo,265.72,2,0,0
50,Stack&Pray Drilling,296.59,2,0,0
50,Bluewater Titans,140.62,1,1,0
51,PlayerCo,269.98,2,0,0
51,Stack&Pray Drilling,303.76,2,0,0
51,Bluewater Titans,141.97,0,2,0
52,PlayerCo,274.24,1,1,0
52,Stack&Pray Drilling,310.93,2,0,0
52,Bluewater Titans,141.07,0,2,0
53,PlayerCo,275.83,1,1,0
53,Stack&Pray Drilling,318.1,1,1,0
53,Bluewater Titans,143.35,1,1,0
54,PlayerCo,280.9,2,0,0
54,Stack&Pray Drilling,319.72,0,2,0
54,Bluewater Titans,145.63,1,1,0
55,PlayerCo,285.97,1,1,0
55,Stack&Pray Drilling,321.07,1,1,0
55,Bluewater Titans,147.91,1,1,0
56,PlayerCo,292.21,2,0,0
56,Stack&Pray Drilling,328.27,2,0,0
56,Bluewater Titans,150.19,1,1,0
57,PlayerCo,298.45,2,0,0
57,Stack&Pray Drilling,335.47,2,0,0
57,Bluewater Titans,152.47,1,1,0
58,PlayerCo,304.69,2,0,0
58,Stack&Pray Drilling,342.67,2,0,0
58,Bluewater Titans,154.75,0,2,0
59,PlayerCo,310.93,2,0,0
59,Stack&Pray Drilling,349.87,2,0,0
59,Bluewater Titans,153.85,0,2,0
60,PlayerCo,317.17,2,0,0
60,Stack&Pray Drilling,357.07,2,0,0
60,Bluewater Titans,152.95,0,2,0
61,PlayerCo,323.41,2,0,0
61,Stack&Pray Drilling,364.27,1,1,0
61,Bluewater Titans,154.99,1,1,0
62,PlayerCo,329.65,2,0,0
62,Stack&Pray Drilling,365.62,1,1,0
62,Bluewater Titans,157.03,1,1,0
63,PlayerCo,335.89,2,0,0
63,Stack&Pray Drilling,372.1,1,1,0
63,Bluewater Titans,159.07,1,1,0
64,PlayerCo,342.13,1,1,0
64,Stack&Pray Drilling,378.64,2,0,0
64,Bluewater Titans,161.11,1,1,0
65,PlayerCo,347.65,2,0,0
65,Stack&Pray Drilling,385.18,2,0,0
65,Bluewater Titans,163.15,1,1,0
66,PlayerCo,353.17,2,0,0
66,Stack&Pray Drilling,391.72,2,0,0
66,Bluewater Titans,165.19,1,1,0
67,PlayerCo,358.69,2,0,0
67,Stack&Pray Drilling,398.26,2,0,0
67,Bluewater Titans,167.23,1,1,0
68,PlayerCo,364.21,2,0,0
68,Stack&Pray Drilling,404.8,2,0,0
68,Bluewater Titans,169.27,1,1,0
69,PlayerCo,369.73,2,0,0
69,Stack&Pray Drilling,411.34,2,0,0
69,Bluewater Titans,171.31,1,1,0
70,PlayerCo,375.25,2,0,0
70,Stack&Pray Drilling,417.88,2,0,0
70,Bluewater Titans,173.35,1,1,0
71,PlayerCo,380.77,2,0,0
71,Stack&Pray Drilling,424.42,1,1,0
71,Bluewater Titans,175.39,1,1,0
72,PlayerCo,386.29,2,0,0
72,Stack&Pray Drilling,431.62,1,1,0
72,Bluewater Titans,177.43,0,2,0
73,PlayerCo,391.81,2,0,0
73,Stack&Pray Drilling,439.03,2,0,0
73,Bluewater Titans,176.53,0,2,0
74,PlayerCo,397.33,2,0,0
74,Stack&Pray Drilling,446.44,2,0,0
74,Bluewater Titans,178.3,1,1,0
75,PlayerCo,402.85,2,0,0
75,Stack&Pray Drilling,453.85,2,0,0
75,Bluewater Titans,180.07,1,1,0
76,PlayerCo,408.37,2,0,0
76,Stack&Pray Drilling,461.26,2,0,0
76,Bluewater Titans,181.84,1,1,0
77,PlayerCo,413.89,1,1,0
77,Stack&Pray Drilling,468.67,2,0,0
77,Bluewater Titans,183.61,1,1,0
78,PlayerCo,418.93,2,0,0
78,Stack&Pray Drilling,476.08,2,0,0
78,Bluewater Titans,185.38,1,1,0
79,PlayerCo,423.97,2,0,0
79,Stack&Pray Drilling,483.49,2,0,0
79,Bluewater Titans,187.15,0,2,0
80,PlayerCo,429.01,2,0,0
80,Stack&Pray Drilling,490.9,2,0,0
80,Bluewater Titans,188.95,1,1,0
81,PlayerCo,434.05,2,0,0
81,Stack&Pray Drilling,498.31,2,0,0
81,Bluewater Titans,190.75,1,1,0
82,PlayerCo,439.09,1,1,0
82,Stack&Pray Drilling,505.72,2,0,0
82,Bluewater Titans,192.55,1,1,0
83,PlayerCo,444.67,1,1,0
83,Stack&Pray Drilling,513.13,1,1,0
83,Bluewater Titans,194.35,1,1,0
84,PlayerCo,450.37,2,0,0
84,Stack&Pray Drilling,514.75,1,1,0
84,Bluewater Titans,196.15,1,1,0
85,PlayerCo,456.07,2,0,0
85,Stack&Pray Drilling,516.37,1,1,0
85,Bluewater Titans,197.95,0,2,0
86,PlayerCo,461.77,2,0,0
86,Stack&Pray Drilling,523.78,2,0,0
86,Bluewater Titans,199.93,1,1,0
87,PlayerCo,467.47,2,0,0
87,Stack&Pray Drilling,531.19,2,0,0
87,Bluewater Titans,201.91,1,1,0
88,PlayerCo,473.17,2,0,0
88,Stack&Pray Drilling,538.6,2,0,0
88,Bluewater Titans,203.89,1,1,0
89,PlayerCo,478.87,1,1,0
89,Stack&Pray Drilling,546.01,2,0,0
89,Bluewater Titans,205.87,1,1,0
90,PlayerCo,484.96,2,0,0
90,Stack&Pray Drilling,553.42,1,1,0
90,Bluewater Titans,207.85,1,1,0
91,PlayerCo,491.05,2,0,0
91,Stack&Pray Drilling,560.38,2,0,0
91,Bluewater Titans,209.83,1,1,0
92,PlayerCo,497.14,2,0,0
92,Stack&Pray Drilling,567.34,2,0,0
92,Bluewater Titans,211.81,1,1,0
93,PlayerCo,503.23,2,0,0
93,Stack&Pray Drilling,574.3,2,0,0
93,Bluewater Titans,213.79,1,1,0
94,PlayerCo,509.32,2,0,0
94,Stack&Pray Drilling,581.26,1,1,0
94,Bluewater Titans,215.77,1,1,0
95,PlayerCo,515.41,2,0,0
95,Stack&Pray Drilling,586.78,2,0,0
95,Bluewater Titans,217.75,1,1,0
96,PlayerCo,521.5,2,0,0
96,Stack&Pray Drilling,592.3,2,0,0
96,Bluewater Titans,219.73,1,1,0
97,PlayerCo,527.59,2,0,0
97,Stack&Pray Drilling,597.82,2,0,0
97,Bluewater Titans,221.71,1,1,0
98,PlayerCo,533.68,2,0,0
98,Stack&Pray Drilling,603.34,2,0,0
98,Bluewater Titans,223.69,1,1,0
99,PlayerCo,539.77,2,0,0
99,Stack&Pray Drilling,608.86,2,0,0
99,Bluewater Titans,225.67,1,1,0
100,PlayerCo,545.86,1,1,0
100,Stack&Pray Drilling,614.38,1,1,0
100,Bluewater Titans,227.65,1,1,0
101,PlayerCo,550.93,2,0,0
101,Stack&Pray Drilling,619.84,2,0,0
101,Bluewater Titans,229.63,1,1,0
102,PlayerCo,556.0,2,0,0
102,Stack&Pray Drilling,625.3,2,0,0
102,Bluewater Titans,231.61,1,1,0
103,PlayerCo,561.07,2,0,0
103,Stack&Pray Drilling,630.76,2,0,0
103,Bluewater Titans,233.59,0,2,0
104,PlayerCo,566.14,2,0,0
104,Stack&Pray Drilling,636.22,2,0,0
104,Bluewater Titans,232.69,0,2,0
105,PlayerCo,571.21,2,0,0
105,Stack&Pray Drilling,641.68,2,0,0
105,Bluewater Titans,233.83,1,1,0
106,PlayerCo,576.28,2,0,0
106,Stack&Pray Drilling,647.14,2,0,0
106,Bluewater Titans,234.97,1,1,0
107,PlayerCo,581.35,2,0,0
107,Stack&Pray Drilling,652.6,2,0,0
107,Bluewater Titans,236.11,1,1,0
108,PlayerCo,586.42,2,0,0
108,Stack&Pray Drilling,658.06,1,1,0
108,Bluewater Titans,237.25,1,1,0
109,PlayerCo,591.49,2,0,0
109,Stack&Pray Drilling,663.49,1,1,0
109,Bluewater Titans,238.39,1,1,0
110,PlayerCo,596.56,2,0,0
110,Stack&Pray Drilling,667.69,2,0,0
110,Bluewater Titans,239.53,1,1,0
111,PlayerCo,601.63,2,0,0
111,Stack&Pray Drilling,671.89,2,0,0
111,Bluewater Titans,240.67,1,1,0
112,PlayerCo,606.7,2,0,0
112,Stack&Pray Drilling,676.09,2,0,0
112,Bluewater Titans,241.81,1,1,0
113,PlayerCo,611.77,1,1,0
113,Stack&Pray Drilling,680.29,2,0,0
113,Bluewater Titans,242.95,1,1,0
114,PlayerCo,614.89,2,0,0
114,Stack&Pray Drilling,684.49,2,0,0
114,Bluewater Titans,244.09,1,1,0
115,PlayerCo,618.01,2,0,0
115,Stack&Pray Drilling,688.69,2,0,0
115,Bluewater Titans,245.23,1,1,0
116,PlayerCo,621.13,2,0,0
116,Stack&Pray Drilling,692.89,2,0,0
116,Bluewater Titans,246.37,1,1,0
117,PlayerCo,624.25,2,0,0
117,Stack&Pray Drilling,697.09,2,0,0
117,Bluewater Titans,247.51,1,1,0
118,PlayerCo,627.37,2,0,0
118,Stack&Pray Drilling,701.29,2,0,0
118,Bluewater Titans,248.65,1,1,0
119,PlayerCo,630.49,2,0,0
119,Stack&Pray Drilling,705.49,2,0,0
119,Bluewater Titans,249.79,1,1,0
120,PlayerCo,633.61,2,0,0
120,Stack&Pray Drilling,709.69,2,0,0
120,Bluewater Titans,250.93,1,1,0
121,PlayerCo,636.73,2,0,0
121,Stack&Pray Drilling,713.89,1,1,0
121,Bluewater Titans,252.07,1,1,0
122,PlayerCo,639.85,1,1,0
122,Stack&Pray Drilling,719.32,2,0,0
122,Bluewater Titans,253.21,0,2,0
123,PlayerCo,643.3,2,0,0
123,Stack&Pray Drilling,724.75,2,0,0
123,Bluewater Titans,253.9,1,1,0
124,PlayerCo,646.75,1,1,0
124,Stack&Pray Drilling,730.18,2,0,0
124,Bluewater Titans,254.59,1,1,0
125,PlayerCo,647.74,1,1,0
125,Stack&Pray Drilling,735.61,2,0,0
125,Bluewater Titans,255.28,1,1,0
126,PlayerCo,650.56,2,0,0
126,Stack&Pray Drilling,741.04,2,0,0
126,Bluewater Titans,255.97,1,1,0
127,PlayerCo,653.38,2,0,0
127,Stack&Pray Drilling,746.47,1,1,0
127,Bluewater Titans,256.66,1,1,0
128,PlayerCo,656.2,2,0,0
128,Stack&Pray Drilling,751.99,2,0,0
128,Bluewater Titans,257.35,1,1,0
129,PlayerCo,659.02,2,0,0
129,Stack&Pray Drilling,757.51,2,0,0
129,Bluewater Titans,258.04,1,1,0
130,PlayerCo,661.84,2,0,0
130,Stack&Pray Drilling,763.03,2,0,0
130,Bluewater Titans,258.73,1,1,0
131,PlayerCo,664.66,2,0,0
131,Stack&Pray Drilling,768.55,2,0,0
131,Bluewater Titans,259.42,0,2,0
132,PlayerCo,667.48,2,0,0
132,Stack&Pray Drilling,774.07,1,1,0
132,Bluewater Titans,260.83,1,1,0
133,PlayerCo,670.3,2,0,0
133,Stack&Pray Drilling,779.65,1,1,0
133,Bluewater Titans,262.24,1,1,0
134,PlayerCo,673.12,1,1,0
134,Stack&Pray Drilling,780.85,1,1,0
134,Bluewater Titans,263.65,1,1,0
135,PlayerCo,676.81,2,0,0
135,Stack&Pray Drilling,782.05,1,1,0
135,Bluewater Titans,265.06,1,1,0
136,PlayerCo,680.5,2,0,0
136,Stack&Pray Drilling,783.25,1,1,0
136,Bluewater Titans,266.47,1,1,0
137,PlayerCo,684.19,2,0,0
137,Stack&Pray Drilling,784.45,1,1,0
137,Bluewater Titans,267.88,1,1,0
138,PlayerCo,687.88,2,0,0
138,Stack&Pray Drilling,791.05,2,0,0
138,Bluewater Titans,269.29,1,1,0
139,PlayerCo,691.57,2,0,0
139,Stack&Pray Drilling,797.65,2,0,0
139,Bluewater Titans,270.7,1,1,0
140,PlayerCo,695.26,1,1,0
140,Stack&Pray Drilling,804.25,2,0,0
140,Bluewater Titans,272.11,1,1,0
141,PlayerCo,700.69,2,0,0
141,Stack&Pray Drilling,810.85,1,1,0
141,Bluewater Titans,273.52,1,1,0
142,PlayerCo,706.12,2,0,0
142,Stack&Pray Drilling,817.72,2,0,0
142,Bluewater Titans,274.93,1,1,0
143,PlayerCo,711.55,2,0,0
143,Stack&Pray Drilling,824.59,2,0,0
143,Bluewater Titans,276.34,1,1,0
144,PlayerCo,716.98,2,0,0
144,Stack&Pray Drilling,831.46,2,0,0
144,Bluewater Titans,277.75,1,1,0
145,PlayerCo,722.41,2,0,0
145,Stack&Pray Drilling,838.33,2,0,0
145,Bluewater Titans,279.16,1,1,0
146,PlayerCo,727.84,2,0,0
146,Stack&Pray Drilling,845.2,2,0,0
146,Bluewater Titans,280.57,1,1,0
147,PlayerCo,733.27,2,0,0
147,Stack&Pray Drilling,852.07,1,1,0
147,Bluewater Titans,281.98,1,1,0
148,PlayerCo,738.7,2,0,0
148,Stack&Pray Drilling,858.85,2,0,0
148,Bluewater Titans,283.39,1,1,0
149,PlayerCo,744.13,1,1,0
149,Stack&Pray Drilling,865.63,2,0,0
149,Bluewater Titans,284.8,1,1,0
150,PlayerCo,745.93,1,1,0
150,Stack&Pray Drilling,872.41,2,0,0
150,Bluewater Titans,286.21,1,1,0
151,PlayerCo,750.49,2,0,0
151,Stack&Pray Drilling,879.19,2,0,0
151,Bluewater Titans,287.62,1,1,0
152,PlayerCo,755.05,1,1,0
152,Stack&Pray Drilling,885.97,2,0,0
152,Bluewater Titans,289.03,1,1,0
153,PlayerCo,759.22,2,0,0
153,Stack&Pray Drilling,892.75,2,0,0
153,Bluewater Titans,290.44,1,1,0
154,PlayerCo,763.39,2,0,0
154,Stack&Pray Drilling,899.53,2,0,0
154,Bluewater Titans,291.85,1,1,0
155,PlayerCo,767.56,2,0,0
155,Stack&Pray Drilling,906.31,1,1,0
155,Bluewater Titans,293.26,0,2,0
156,PlayerCo,771.73,2,0,0
156,Stack&Pray Drilling,911.29,2,0,0
156,Bluewater Titans,294.01,1,1,0
157,PlayerCo,775.9,2,0,0
157,Stack&Pray Drilling,916.27,2,0,0
157,Bluewater Titans,294.76,1,1,0
158,PlayerCo,780.07,1,1,0
158,Stack&Pray Drilling,921.25,2,0,0
158,Bluewater Titans,295.51,1,1,0
159,PlayerCo,783.64,2,0,0
159,Stack&Pray Drilling,926.23,2,0,0
159,Bluewater Titans,296.26,1,1,0
160,PlayerCo,787.21,2,0,0
160,Stack&Pray Drilling,931.21,2,0,0
160,Bluewater Titans,297.01,1,1,0
161,PlayerCo,790.78,2,0,0
161,Stack&Pray Drilling,936.19,2,0,0
161,Bluewater Titans,297.76,1,1,0
162,PlayerCo,794.35,2,0,0
162,Stack&Pray Drilling,941.17,2,0,0
162,Bluewater Titans,298.51,1,1,0
163,PlayerCo,797.92,2,0,0
163,Stack&Pray Drilling,946.15,2,0,0
163,Bluewater Titans,299.26,1,1,0
164,PlayerCo,801.49,2,0,0
164,Stack&Pray Drilling,951.13,2,0,0
164,Bluewater Titans,300.01,1,1,0
165,PlayerCo,805.06,2,0,0
165,Stack&Pray Drilling,956.11,2,0,0
165,Bluewater Titans,300.76,1,1,0
166,PlayerCo,808.63,2,0,0
166,Stack&Pray Drilling,961.09,2,0,0
166,Bluewater Titans,301.51,1,1,0
167,PlayerCo,812.2,2,0,0
167,Stack&Pray Drilling,966.07,2,0,0
167,Bluewater Titans,302.26,1,1,0
168,PlayerCo,815.77,2,0,0
168,Stack&Pray Drilling,971.05,2,0,0
168,Bluewater Titans,303.01,1,1,0
169,PlayerCo,819.34,2,0,0
169,Stack&Pray Drilling,976.03,2,0,0
169,Bluewater Titans,303.76,1,1,0
170,PlayerCo,822.91,2,0,0
170,Stack&Pray Drilling,981.01,2,0,0
170,Bluewater Titans,304.51,1,1,0
171,PlayerCo,826.48,2,0,0
171,Stack&Pray Drilling,985.99,1,1,0
171,Bluewater Titans,305.26,1,1,0
172,PlayerCo,830.05,2,0,0
172,Stack&Pray Drilling,991.3,2,0,0
172,Bluewater Titans,306.01,1,1,0
173,PlayerCo,833.62,2,0,0
173,Stack&Pray Drilling,996.61,2,0,0
173,Bluewater Titans,306.76,0,2,0
174,PlayerCo,837.19,1,1,0
174,Stack&Pray Drilling,1001.92,2,0,0
174,Bluewater Titans,305.86,0,2,0
175,PlayerCo,840.79,2,0,0
175,Stack&Pray Drilling,1007.23,2,0,0
175,Bluewater Titans,307.51,1,1,0
176,PlayerCo,844.39,1,1,0
176,Stack&Pray Drilling,1012.54,2,0,0
176,Bluewater Titans,309.16,1,1,0
177,PlayerCo,849.04,2,0,0
177,Stack&Pray Drilling,1017.85,2,0,0
177,Bluewater Titans,310.81,1,1,0
178,PlayerCo,853.69,2,0,0
178,Stack&Pray Drilling,1023.16,2,0,0
178,Bluewater Titans,312.46,1,1,0
179,PlayerCo,858.34,2,0,0
179,Stack&Pray Drilling,1028.47,1,1,0
179,Bluewater Titans,314.11,1,1,0
180,PlayerCo,862.99,2,0,0
180,Stack&Pray Drilling,1034.77,2,0,0
180,Bluewater Titans,315.76,0,2,0
181,PlayerCo,867.64,2,0,0
181,Stack&Pray Drilling,1041.07,2,0,0
181,Bluewater Titans,314.86,0,2,0
182,PlayerCo,872.29,1,1,0
182,Stack&Pray Drilling,1047.37,2,0,0
182,Bluewater Titans,313.96,0,2,0
183,PlayerCo,876.31,2,0,0
183,Stack&Pray Drilling,1053.67,2,0,0
183,Bluewater Titans,313.06,0,2,0
184,PlayerCo,880.33,2,0,0
184,Stack&Pray Drilling,1059.97,2,0,0
184,Bluewater Titans,313.78,1,1,0
185,PlayerCo,884.35,2,0,0
185,Stack&Pray Drilling,1066.27,2,0,0
185,Bluewater Titans,314.5,1,1,0
186,PlayerCo,888.37,1,1,0
186,Stack&Pray Drilling,1072.57,2,0,0
186,Bluewater Titans,315.22,1,1,0
187,PlayerCo,890.89,2,0,0
187,Stack&Pray Drilling,1078.87,2,0,0
187,Bluewater Titans,315.94,1,1,0
188,PlayerCo,893.41,2,0,0
188,Stack&Pray Drilling,1085.17,1,1,0
188,Bluewater Titans,316.66,1,1,0
189,PlayerCo,895.93,2,0,0
189,Stack&Pray Drilling,1086.88,1,1,0
189,Bluewater Titans,317.38,1,1,0
190,PlayerCo,898.45,2,0,0
190,Stack&Pray Drilling,1092.88,2,0,0
190,Bluewater Titans,318.1,1,1,0
191,PlayerCo,900.97,2,0,0
191,Stack&Pray Drilling,1098.88,2,0,0
191,Bluewater Titans,318.82,1,1,0
192,PlayerCo,903.49,1,1,0
192,Stack&Pray Drilling,1104.88,2,0,0
192,Bluewater Titans,319.54,1,1,0
193,PlayerCo,907.24,2,0,0
193,Stack&Pray Drilling,1110.88,2,0,0
193,Bluewater Titans,320.26,1,1,0
194,PlayerCo,910.99,2,0,0
194,Stack&Pray Drilling,1116.88,2,0,0
194,Bluewater Titans,320.98,1,1,0
195,PlayerCo,914.74,2,0,0
195,Stack&Pray Drilling,1122.88,1,1,0
195,Bluewater Titans,321.7,1,1,0
196,PlayerCo,918.49,2,0,0
196,Stack&Pray Drilling,1128.13,2,0,0
196,Bluewater Titans,322.42,1,1,0
197,PlayerCo,922.24,2,0,0
197,Stack&Pray Drilling,1133.38,2,0,0
197,Bluewater Titans,323.14,1,1,0
198,PlayerCo,925.99,2,0,0
198,Stack&Pray Drilling,1138.63,2,0,0
198,Bluewater Titans,323.86,1,1,0
199,PlayerCo,929.74,2,0,0
199,Stack&Pray Drilling,1143.88,2,0,0
199,Bluewater Titans,324.58,1,1,0
200,PlayerCo,933.49,1,1,0
200,Stack&Pray Drilling,1149.13,2,0,0
200,Bluewater Titans,325.3,1,1,0
201,PlayerCo,936.7,2,0,0
201,Stack&Pray Drilling,1154.38,1,1,0
201,Bluewater Titans,326.02,1,1,0
202,PlayerCo,939.91,2,0,0
202,Stack&Pray Drilling,1157.14,2,0,0
202,Bluewater Titans,326.74,1,1,0
203,PlayerCo,943.12,2,0,0
203,Stack&Pray Drilling,1159.9,2,0,0
203,Bluewater Titans,327.46,1,1,0
204,PlayerCo,946.33,1,1,0
204,Stack&Pray Drilling,1162.66,2,0,0
204,Bluewater Titans,328.18,1,1,0
205,PlayerCo,948.19,2,0,0
205,Stack&Pray Drilling,1165.42,2,0,0
205,Bluewater Titans,328.9,1,1,0
206,PlayerCo,950.05,2,0,0
206,Stack&Pray Drilling,1168.18,2,0,0
206,Bluewater Titans,329.62,1,1,0
207,PlayerCo,951.91,2,0,0
207,Stack&Pray Drilling,1170.94,1,1,0
207,Bluewater Titans,330.34,0,2,0
208,PlayerCo,953.77,2,0,0
208,Stack&Pray Drilling,1171.9,1,1,0
208,Bluewater Titans,329.44,0,2,0
209,PlayerCo,955.63,1,1,0
209,Stack&Pray Drilling,1175.5,2,0,0
209,Bluewater Titans,328.54,0,2,0
210,PlayerCo,957.07,2,0,0
210,Stack&Pray Drilling,1179.1,2,0,0
210,Bluewater Titans,327.64,0,2,0
211,PlayerCo,958.51,2,0,0
211,Stack&Pray Drilling,1182.7,2,0,0
211,Bluewater Titans,326.74,0,2,0
212,PlayerCo,959.95,2,0,0
212,Stack&Pray Drilling,1186.3,2,0,0
212,Bluewater Titans,325.84,0,2,0
213,PlayerCo,961.39,2,0,0
213,Stack&Pray Drilling,1189.9,1,1,0
213,Bluewater Titans,324.94,0,2,0
214,PlayerCo,962.83,2,0,0
214,Stack&Pray Drilling,1192.96,2,0,0
214,Bluewater Titans,325.39,1,1,0
215,PlayerCo,964.27,2,0,0
215,Stack&Pray Drilling,1196.02,2,0,0
215,Bluewater Titans,325.84,1,1,0
216,PlayerCo,965.71,1,1,0
216,Stack&Pray Drilling,1199.08,2,0,0
216,Bluewater Titans,326.29,1,1,0
217,PlayerCo,967.42,2,0,0
217,Stack&Pray Drilling,1202.14,2,0,0
217,Bluewater Titans,326.74,1,1,0
